Batman Begins,"28,80,18"
Hick,"35,18"
Hysteria,"35,10749"
Extremely Loud & Incredibly Close,18
A Few Best Men,35
"Good Luck Charlie, It's Christmas!","10770,35,10751"
Dream House,"18,53,9648"
Hop,"16,35,10751"
Special Forces,"28,18,10752"
The Art of Getting By,"18,10749"
Anonymous,"18,36,53"
The Beaver,18
Another Earth,"18,878"
Mean Girls 2,35
Beverly Hills Chihuahua 2,"35,10751"
Arena,"28,53,878"
New Year's Eve,"35,10749"
50/50,"35,18"
Largo Winch II,"28,12,53"
The Sitter,35
Butter,35
Fright Night,"27,35"
Hotel Desire,"18,10749"
Sanctum,"28,53"
War of the Buttons,"12,10751"
The Tunnel,"27,53,9648"
Tyrannosaur,"18,10749"
Setup,"28,80,18,53"
Catch.44,"18,28,53"
Puncture,"18,9648"
Shaolin,"28,18"
Small Fry,"16,10751"
A Very Harold & Kumar Christmas,35
Page Eight,"9648,53,18"
Our Idiot Brother,"35,18"
Detachment,18
Take Me Home Tonight,"35,18,10749"
The Oranges,"35,10749,18"
Naruto Shippuden the Movie: Blood Prison,"53,16,28,35,27,9648"
Friends with Kids,"35,18,10749"
A Princess For Christmas,"35,18,10751"
Trespass,"80,18,53,9648"
The Devil's Double,"18,28,53,80,10752"
Intruders,"53,27,14"
Barbie: A Fairy Secret,"16,10751,14"
All Star Superman,"16,28,12"
Killer Joe,"80,18,53"
The Suite Life Movie,"12,35,18,10751,10770"
The Double,"28,18,80"
Haywire,"28,53,9648"
The Big Year,35
Shark Night 3D,"27,53"
Bucky Larson: Born to Be a Star,35
With Every Heartbeat,"18,10749"
Batman: Year One,"28,12,16,80,878,9648"
The Roommate,"53,18,27"
A Little Bit of Heaven,"35,18,10749"
Paranormal Activity 3,27
God Bless America,"35,18"
Machine Gun Preacher,"28,53,80"
Take This Waltz,"18,35"
Hostel: Part III,27
Megamind: The Button of Doom,"16,28,35,10751"
Grave Encounters,"53,27"
Once Upon a Time in Anatolia,"18,80"
Win Win,"18,35"
Submarine,"18,35,10749"
Soul Surfer,"10751,28,18"
Arthur,"35,10749"
Something Borrowed,"35,18,10749"
Straw Dogs,"18,53"
Faces in the Crowd,"53,9648,80,18"
Kill List,"27,53,80"
Barbie: A Perfect Christmas,"16,10751"
Husk,"27,53"
Bullhead,"80,18"
"Turn Me On, Dammit!","18,35"
Book of Dragons,"14,16,28,35"
From Prada to Nada,"35,18,10749"
The Tuche Family,35
Delicacy,"18,35,10749"
Chalet Girl,"35,10749"
Red Dog,"18,35,10751"
Emergo,"27,53"
Sleep Tight,53
A Good Old Fashioned Orgy,35
Silenced,18
The Innkeepers,"27,53"
S.W.A.T.: Firefight,"28,80,53"
The Day,"28,18,27,878"
Margaret,18
The Ledge,"18,53"
The Deep Blue Sea,"18,10749"
Absentia,"9648,27,53"
Ducoboo,35
The Sorcerer and the White Snake,"28,14"
Hell,"27,878,53,9648"
Polisse,18
The Hunter,"18,53,12"
North Sea Texas,"18,10749"
A Christmas Kiss,"10751,10770,10749"
Welcome Aboard,35
Cedar Rapids,35
Kill the Irishman,"28,80,53,18"
Honey 2,"35,18,10402"
Ronal the Barbarian,"16,12,14"
Le Havre,"18,35"
Fullmetal Alchemist The Movie: The Sacred Star of Milos,"12,14,16,28,878"
Tomboy,18
La Luna,"16,10751"
Prom,"35,10749"
The Son of No One,"18,53,80"
The Lady,18
Jackass 3.5,"35,99,28"
Your Sister's Sister,"18,35"
Anche se è amore non si vede,35
4:44 Last Day on Earth,"18,14,878,53"
The Caller,"27,53,9648"
Jumping the Broom,35
The Prey,"28,80,53"
Carnage,"35,18"
Flypaper,"9648,35,80"
Cyberbully,18
W.E.,"18,10749"
Love,"18,878"
Dragon,"18,28,53"
House of Tolerance,18
Love Lasts Three Years,"10749,35"
Justin Bieber: Never Say Never,"99,10402,10751"
Kokowääh,35
Elles,18
Chinese Take-Out,35
12 Dates of Christmas,"35,10751,14,10749,10770"
The Gruffalo's Child,"12,16,10751,14"
"Peace, Love & Misunderstanding","35,18,10749"
War of the Arrows,"18,28,36,53"
Samsara,"18,99"
Albert Nobbs,18
You Are the Apple of My Eye,"18,10749,35"
Wrecked,"9648,53"
Violet & Daisy,"53,80,18,28,35"
A Better Life,18
Atlas Shrugged: Part I,"18,53,878,9648"
Teen Spirit,"18,14,35"
Bellflower,"28,18,10749"
The Art of Flight,"12,99"
Twixt,"27,53,9648,14"
The Good Doctor,"18,53,9648"
Juan of the Dead,"27,35"
Jiro Dreams of Sushi,99
The Greatest Movie Ever Sold,"35,99"
In the Land of Blood and Honey,"18,10749,10752"
17 Girls,18
Suicide Room,"16,18,53"
Retreat,"18,53,27,878"
Gantz,"27,28,878"
Sound of My Voice,"878,18,9648,53"
Wuthering Heights,"18,10749"
Escort in love,35
Sidewalls,"18,10749"
Madea's Big Happy Family,"35,18"
"A Fairly Odd Movie: Grow Up, Timmy Turner!","10751,14"
We Have a Pope,"18,35"
You May Not Kiss the Bride,"28,80,35,10749"
The Turin Horse,18
Hellraiser: Revelations,27
The Well Digger's Daughter,"18,10749"
Hobo with a Shotgun,"80,28,53"
Zeitgeist: Moving Forward,99
Hollywoo,35
The Howling: Reborn,27
Cat Run,"28,35,53"
The Rabbi's Cat,"35,16"
Magic Beyond Words: The JK Rowling Story,"18,10770"
Silent House,"27,9648"
I Am,99
My Way,"18,28,36,10752"
The Hit List,"28,53"
I Wish,18
Ex - Amici come prima!,35
The Kid with a Bike,18
A Happy Event,"18,35"
Vacanze di Natale a Cortina,"35,10751"
Case départ,35
Women Vs Men,35
Elephant White,"28,53,14,80"
The Source,"35,18"
Sunny,18
I soliti idioti,35
Born to Race,28
Courageous,18
Zindagi Na Milegi Dobara,"18,35,10749"
Sniper: Reloaded,"10752,28,53,18"
The Decoy Bride,"18,35,10749"
Ra.One,"12,28,878"
The Forger,18
Glee: The Concert Movie,"99,10402,10751"
The Worst Week of My Life,35
Starbuck,35
Freerunner,28
5 Days of War,"10752,18"
L!fe Happens,35
11-11-11,"27,53"
Julia X,27
"Oslo, August 31st",18
Gantz: Perfect Answer,"28,9648,878"
Rockstar,"18,10402,10749"
My Worst Nightmare,35
Spooky Buddies,"35,10751"
Life in a Day,"99,18"
The Ouija Experiment,27
The Sleeping Voice,"18,36"
Wake Wood,"18,27,53"
Blackthorn,"12,28,37"
Almanya: Welcome to Germany,"18,35"
Cousinhood,35
Bar Sport,"35,10751"
Black Gold,"12,18"
Alps,18
Catarina and the others,"18,9648"
Detective Conan: Quarter of Silence,"16,28,80,9648"
Guilty of Romance,"18,53,27,9648"
Marley & Me: The Puppy Years,"35,10751"
Megan Is Missing,"18,27,9648,53"
The Lost Bladesman,"36,18,28,10752"
There Be Dragons,"18,10752"
Pina,99
2012: Ice Age,"28,12,878"
War of the Buttons,"10751,12"
Second Chance,"35,10749"
Enter Nowhere,"9648,878,53"
Flying Swords of Dragon Gate,"12,28"
Too Big to Fail,18
What a Beautiful Day,35
1911,"12,18,28,36,10752"
Boris - Il film,35
Box Office 3D - Il film dei film,35
Bully,"99,18"
A Gang Story,"80,18"
Burn Notice: The Fall of Sam Axe,"35,80,18,9648,53"
Finalmente la felicità,35
Louis C.K.: Live at the Beacon Theater,35
Monsieur Lazhar,"18,35"
The Man from the Future,"35,14,878"
Elena,"18,53"
Simple Simon,"35,18"
TEKKEN: Blood Vengeance,"28,16"
Come As You Are,"18,35"
The Captains,"99,878"
Snowtown,"80,18,27,53"
No Other Woman,"10749,18"
Thin Ice,"80,18,35"
The Big Bang,"28,9648,53"
Panic Button,"27,53"
Restless,"18,10749"
Chicken with Plums,"35,18"
Edwin Boyd: Citizen Gangster,"80,18"
Mardi Gras: Spring Break,35
Vile,"27,53"
The Details,"35,18"
Declaration of War,18
The Immature,35
Into the Abyss,"99,80"
Eating Out: The Open Weekend,"35,10749"
You Don't Choose Your Family,"35,12"
Bodyguard,"18,28,35,10749"
Age of Heroes,"18,28,53,10752"
Paradise Lost 3: Purgatory,99
Livid,27
247°F,"27,53"
Lego Star Wars: The Padawan Menace,"16,10751,878"
Inbred,"35,27"
Always,"10749,18,10751"
TRON: The Next Day,"878,53"
Wild Bill,18
"Guns, Girls and Gambling","80,53"
Qualunquemente,35
Age of the Dragons,"12,28,14"
Goodbye First Love,"18,10749"
Torrente 4: Lethal crisis,"28,35,80"
Scialla! (Stai sereno),35
My Piece of the Pie,"18,35"
That's What I Am,"35,18,10751"
Babycall,"53,27"
Michael,18
Woody Allen: A Documentary,99
Girl Walks Into a Bar,35
Best Player,"35,10751"
Men in Hope,"35,10749"
Evidence,27
La Croisière,35
Death of a Superhero,"16,18"
Night of the Living Carrots,"16,35"
Beethoven's Christmas Adventure,"35,10751"
Baciato dalla fortuna,35
Miss Bala,"18,28"
Carjacked,"28,53"
The Monk,53
Little Deaths,"27,53,10749"
Being Elmo: A Puppeteer's Journey,"99,10751"
"Cougars, Inc.","35,18"
Someday This Pain Will Be Useful to You,"18,35"
Singham,"18,28,80"
Delhi Belly,"28,35"
Eating Out: Drama Camp,35
Don 2,"28,53"
DeadHeads,"12,35,27"
Elevator,53
Spellbound,"27,10749,35"
Nobody Else But You,"35,80,9648"
Kevin Hart: Laugh at My Pain,"35,99"
Circumstance,18
H2O Just Add Water - The Movie,"14,12"
The Incident,"27,53"
TT3D: Closer to the Edge,99
Transformers: Dark of the Moon,"28,878,12"
In the Name of the King 2: Two Worlds,"12,14,18,28"
United,"18,36"
Overheard 2,"28,18,53"
Take Me Home,"35,10749"
51,"878,27"
The Music Never Stopped,18
Faust,"14,18"
Café de Flore,"18,10749"
The Moth Diaries,27
William & Kate,"18,10749"
Pokémon the Movie Black: Victini and Reshiram,"16,10751,12"
Passion Play,"18,10749,14"
The Entitled,53
Touchback,"18,10751,14"
New Kids Nitro,"28,35"
Terri,"35,18"
Tactical Force,"28,53"
Scrat's Continental Crack-Up: Part 2,"16,35,12"
William & Catherine: A Royal Romance,"10749,18"
Hara-Kiri: Death of a Samurai,18
Some Guy Who Kills People,"35,27,53"
DC Showcase: Catwoman,"28,12,16,878"
Blue Crush 2,"12,18"
Halal State Security,35
No Rest for the Wicked,53
What a Man,"35,10749"
Cassadaga,"27,53"
Battle of Los Angeles,"878,53"
Guilty,"18,80"
Where Do We Go Now?,"18,35"
Sleepless Night,"28,35,53,10749"
In Darkness,"18,10752"
A Simple Life,18
The Clown,"35,18"
The Marquis,35
Pokémon the Movie White: Victini and Zekrom,"12,16,10751"
Trap.com,"35,10749"
Giant Woman vs. Big Octopus,14
I Melt with You,"18,53"
"Isoroku Yamamoto, the Commander-in-Chief of the Combined Fleet","36,10752"
The Borrowers,"12,10751,35,14"
Woman in Love,35
Matrimonio a Parigi,35
Forks Over Knives,99
Killing Bono,"35,18"
Christopher and His Kind,"18,10749"
Air Mater,"16,10751"
Little Birds,18
Combat Girls,18
Conan O'Brien Can't Stop,99
Assassin's Creed: Embers,16
Titeuf,16
Tales of the Night,"14,16"
October Baby,18
A Burning Hot Summer,18
Lady Gaga Presents: The Monster Ball Tour at Madison Square Garden,10402
Himizu,"80,18"
Snow Flower and the Secret Fan,"18,36"
Body Language,"10402,18,10749"
Blind,53
Horrid Henry: The Movie,"35,10751,12"
Un natale x 2,35
The Cat,9648
Detective K: Secret of Virtuous Widow,"28,35,80,36,9648"
The Pill,"35,18,10749"
Beneath the Darkness,53
Zombie Apocalypse,"28,27,878"
A Hole In My Panty,35
The Good Witch's Family,"18,10751,14"
Scream of the Banshee,27
Gokaiger Goseiger Super Sentai 199 Hero Great Battle,"28,12,878"
Albatross,18
Sand Sharks,"35,27,878"
Pariah,18
Exit Humanity,"18,27"
The Prodigies,"878,16"
Queen: Days of Our Lives,"99,10402"
The Theatre Bizarre,27
Sexual Witchcraft,
The Veteran,"28,53"
Whores' Glory,99
Another Happy Day,"35,18"
Beur sur la ville,35
Tom and Jerry & The Wizard of Oz,"16,10751,35"
Faccio un salto all'Avana,35
Choose,"80,18,27,53"
The Pool Boys,35
Bobby Fischer Against the World,"99,18"
Good Neighbours,"53,18"
Doomsday Prophecy,"28,53,878"
Recoil,28
Lucky Trouble,"10749,35"
Alyce Kills,"27,53"
What Men Still Talk About,"10749,35"
Carnal Innocence,"9648,10770"
Mere Brother Ki Dulhan,"18,35,10749"
When Pigs Have Wings,35
The Smurfs: A Christmas Carol,"35,10751,16,14"
Brain Drain 2,"28,53,878"
The Avengers,"878,28,12"
The Hobbit: An Unexpected Journey,"12,14,28"
Django Unchained,"18,37"
The Dark Knight Rises,"28,80,18,53"
Brave,"16,12,35,10751,28,14"
The Amazing Spider-Man,"28,12,14"
Skyfall,"28,12,53"
Wreck-It Ralph,"10751,16,35,12"
The Twilight Saga: Breaking Dawn - Part 2,"12,14,18,10749"
Sexual Chronicles of a French Family,"35,18"
Hotel Transylvania,"16,35,10751,14"
The Grey,"18,53"
Silver Linings Playbook,"18,35,10749"
Pitch Perfect,"35,10402,10749"
Looper,"28,53,878"
Men in Black 3,"28,35,878"
Life of Pi,"12,18,28"
Mirror Mirror,"12,35,18,10751,14"
Prometheus,"878,12,9648"
Argo,"18,53"
The Lorax,"16,10751"
21 Jump Street,"28,35,80"
Ice Age: Continental Drift,"16,35,12,10751"
John Carter,"28,12,878"
Taken 2,"28,80,53"
Total Recall,"28,878,12,53"
The Expendables 2,"28,12,53"
Secret of the Wings,"16,10751,14,12"
The Hunger Games,"878,12,14"
Silent Hill: Revelation 3D,"53,27,9648"
Battleship,"53,28,12,878"
Journey 2: The Mysterious Island,"12,28,878"
The Perks of Being a Wallflower,18
Chronicle,"878,18,53"
"Batman: The Dark Knight Returns, Part 1","28,16,9648"
The Bourne Legacy,"28,53"
Wrath of the Titans,"14,12,28"
Snow White and the Huntsman,"12,14,18"
Rise of the Guardians,"16,10751,14"
Ted,"35,14"
Madagascar 3: Europe's Most Wanted,"16,10751,35"
American Reunion,35
Underworld: Awakening,"14,28,27"
Jack Reacher,"80,18,53,28"
That's My Boy,35
The Scorpion King 3: Battle for Redemption,"28,14,12,18"
Safe House,"28,53"
Dredd,"28,878"
Wrong Turn 5: Bloodlines,"27,53"
Les Misérables,"36,18"
Zero Dark Thirty,"53,18,36"
Safe,"28,80,53"
Diary of a Wimpy Kid: Dog Days,"35,10751"
Lawless,"80,18"
Wolf Children,"16,18,10751,14"
Cloud Atlas,"18,878"
The Hunt,18
This Means War,"28,35,10749"
Anna Karenina,"18,10749"
The Cabin in the Woods,"27,35,53"
The Pirates! In an Adventure with Scientists!,"16,12,10751,35"
Chinese Zodiac,"28,12"
Resident Evil: Damnation,"16,27"
What the Day Owes the Night,"18,36,10749"
Magic Mike,"18,35"
The Master,18
I Want You,"18,10749"
Contraband,"53,28,18,80"
Dark Shadows,"35,14"
Abraham Lincoln: Vampire Hunter,"28,14,27"
Piranha 3DD,"27,53,35"
Get the Gringo,"28,53,80,18"
End of Watch,"80,18,53"
Iron Sky,"28,35,878"
Frankenweenie,"16,35,10751"
Hitchcock,18
Fire with Fire,"28,80,18,53"
Lockout,"28,53,878"
Moonrise Kingdom,"35,18,10749"
The Vow,"18,10749"
The Watch,"28,35,878"
Lincoln,"36,18"
ParaNorman,"10751,16,12,35"
"Tad, the Lost Explorer","16,35,12,10751"
The Lucky One,"18,10749"
The Five-Year Engagement,"10749,35"
Deadfall,"80,18,53"
Sinister,"27,53,9648"
Step Up Revolution,"10402,18,10749"
Flight,18
The Dictator,35
Asterix & Obelix: God Save Britannia,"10751,12,35"
Trouble with the Curve,"18,10749"
The Possession,"27,53"
John Dies at the End,"27,35"
Drug War,"28,18,80"
Project X,"35,80"
The Impossible,"53,18"
Wanderlust,"35,10749"
The Man with the Iron Fists,28
Ruby Sparks,"35,10749,14,18"
An American Girl: McKenna Shoots for the Stars,"18,10751"
Puss in Boots: The Three Diablos,"12,16,35,10751"
This Is 40,35
Beasts of the Southern Wild,"18,14,12"
Savages,"80,18,53"
Blue Lagoon: The Awakening,"18,12,10749,10770"
Rurouni Kenshin,"28,18,36"
House at the End of the Street,"27,53"
What to Expect When You're Expecting,"10749,35,18"
Killing Them Softly,"80,53"
Marvel One-Shot: Item 47,"878,28,14"
Tangled Ever After,"16,35,28,10751"
Goon,35
Justice League: Doom,"28,16,53"
The Paperboy,"53,18,9648"
Man on a Ledge,"28,53,80"
StreetDance 2,"18,10749,10402"
Act of Valor,"28,53,10752"
The Woman in Black,"18,27,53"
Premium Rush,"80,28,53"
Aftershock,"27,53"
The Concubine,18
A Royal Affair,"18,36,10749"
Here Comes the Boom,"28,35"
The Words,"18,53"
The Odd Life of Timothy Green,"14,18,35,10751"
One Piece Film: Z,"28,12,16"
[REC]³ Genesis,27
HOUBA! On the Trail of the Marsupilami,"12,35"
Home Alone 5: The Holiday Heist,"35,80,10751"
The Imposter,"99,18,9648"
Bachelorette,"35,10749"
Rock of Ages,"35,18,10402,10749"
Alex Cross,"28,53,80,9648"
A Letter to Momo,"35,14,16,18,10751"
The First Time,"18,35,10749"
Starship Troopers: Invasion,"16,28,878"
Red Dawn,"10752,28,53,878"
To Rome with Love,"10749,35,18"
Seven Psychopaths,"35,80"
Red Lights,53
LOL,"18,35,10749"
Breaking Wind,"27,35"
The Tall Man,"27,9648,53"
Mac & Devin Go to High School,35
The Cold Light of Day,"28,53,9648"
Cleanskin,"18,53,80"
Universal Soldier: Day of Reckoning,"28,878,53"
Promised Land,18
The Pact,"27,9648,53"
The Lords of Salem,"27,53"
Seeking a Friend for the End of the World,"35,18,10749,878"
Parental Guidance,35
Playing for Keeps,"35,10749"
On the Road,"12,18"
So Undercover,28
Stuck in Love,"18,35"
In the House,"35,18,9648,53"
Santa Paws 2: The Santa Pups,10751
The Campaign,35
Room 237,99
Safety Not Guaranteed,"35,10749,878,18"
The Company You Keep,"18,53"
Rust and Bone,"18,10749"
Cool Kids Don't Cry,"10749,18,10751"
Hope Springs,"18,35,10749"
Partysaurus Rex,"16,35,10751,14"
Stolen,"28,80,53"
Love Is All You Need,"35,10749,18"
360,"18,10749"
Ernest & Celestine,"16,35,18,10751"
The Body,"53,9648"
Berserk: The Golden Age Arc 2 - The Battle for Doldrey,"28,12,18,14,16"
Paperman,"16,10751,10749"
What's in a Name,"18,35"
Berserk: The Golden Age Arc 1 - The Egg of the King,"28,12,14,16"
Welcome to the North,35
Apartment 1303 3D,27
Hit & Run,"28,35,10749"
The Magic of Belle Isle,"35,18"
Laurence Anyways,"18,10749"
Upside Down,"10749,878,18,14"
Kon-Tiki,"12,36"
Diaz - Don't Clean Up This Blood,18
The Guilt Trip,35
Byzantium,"18,14,53"
Chained,"27,53,80"
Lay the Favorite,"18,35"
The Raven,"80,53,9648"
Arbitrage,"18,53"
White Tiger,"28,12,14,10752"
Liberal Arts,"10749,35,18"
Excision,"18,27"
Amour,"18,10749"
Bel Ami,"10749,18"
Burning Bright,"18,27,53"
Big Miracle,"12,18,10749"
Celeste & Jesse Forever,"35,18,10749"
The Act of Killing,99
Think Like a Man,"35,10749"
Paranormal Activity 4,27
Holy Motors,"18,14"
People Like Us,18
The Iceman,"53,80,18"
2 Days in New York,"35,18,10749"
Fly Me to the Moon,"35,10749"
One for the Money,"28,35,80"
Happiness Never Comes Alone,"35,10749"
A Thousand Words,"18,35"
Girl Most Likely,35
Disconnect,"18,53"
Grabbers,"878,35,53,27,9648"
Hyde Park on Hudson,"35,18,36"
Frenemies,"18,10751,10770,35"
Barfi!,"18,10749,35"
The Three Stooges,35
George Harrison: Living in the Material World,"10402,99"
Compliance,"18,53,80,9648"
Meeting Evil,"80,18,9648,53"
The Angels' Share,"18,35"
"Farewell, My Queen","18,36"
Red Tails,"18,28,12,36,10752"
Cosmopolis,18
Radio Rebel,"35,18,10751,10770"
Let It Shine,"10751,10402,10770"
Bernie,"35,80,18"
Zambezia,"35,16,12,10751"
Into the White,"28,10752,18"
ACAB - All Cops Are Bastards,"28,18,80"
Erased,"28,53"
Seal Team Six: The Raid on Osama Bin Laden,"53,28,80,18"
Chasing Mavericks,18
Robot & Frank,"878,35,18,80"
Porn in the Hood,35
Viva l'Italia,35
Barbara,18
My Awkward Sexual Adventure,"35,10749"
Chernobyl Diaries,"27,53"
About Cherry,18
Gambit,"35,80"
Maniac,27
Evangelion: 3.0 You Can (Not) Redo,"16,878,28,18"
Broken,18
Gone,"18,53,9648"
The Baytown Outlaws,"28,35,80"
Hemingway & Gellhorn,"18,10749"
The Bay,"27,878,53"
Transit,"28,53,80"
Lore,"18,10752,53"
The Brass Teapot,"35,14,53"
Barbie: The Princess & The Popstar,"10751,16"
Being Flynn,18
The Devil Inside,"53,27"
No,"18,36"
Barbie in A Mermaid Tale 2,"16,10751"
Black Rock,"53,27"
Twice Born,"18,10749,10752"
Passion,"53,18,80,9648"
The Apparition,"27,53"
ATM,"27,53"
Beverly Hills Chihuahua 3 - Viva La Fiesta!,"35,10751"
Bad Ass,"28,18"
Sofia the First: Once Upon a Princess,"16,10751"
The Players,35
Truth or Dare,"27,53,9648"
Populaire,"35,10749"
Much Ado About Nothing,35
A Hijacking,"53,18"
The Seasoning House,"27,53"
Freelancers,"9648,18,28,80"
Fun Size,35
Great Expectations,"18,10749"
The Factory,"80,53,9648"
After,"9648,53"
Quartet,"18,35,10749"
Searching for Sugar Man,"99,10402"
Bait,"28,27,53"
The Sessions,"18,10749,35"
2-Headed Shark Attack,"27,28,53,878"
The Suicide Shop,"35,16"
The Samaritan,53
Would You Rather,"53,27"
The Snow Queen,"16,14,10751"
American Mary,"27,53"
Now Is Good,"18,10749"
A Fantastic Fear of Everything,"35,53"
Katy Perry: Part of Me,"99,10402"
The Sweeney,"28,80"
Eden,18
House With A Nice View,10749
Wrong,"35,9648"
Shadow Dancer,53
After Porn Ends,99
My First Time,"18,10749"
Would I Lie to You? 3,35
Turkish for Beginners,35
V/H/S,"53,27"
A Turtle's Tale 2: Sammy's Escape from Paradise,"12,16"
Dracula 3D,"27,10749,53"
Thanks for Sharing,"35,18"
The Liability,"53,35,80"
English Vinglish,"35,18,10751"
The Dream Team,"18,35,10749"
Girl vs. Monster,"35,10751,878"
Columbus Circle,"80,18,9648,53"
Maggie Simpson in The Longest Daycare,"16,35"
Silent Night,"35,27,53,9648"
We Are Legion: The Story of the Hacktivists,99
Naruto Shippuden the Movie: Road to Ninja,"14,16,28,12"
Emperor,"18,36,10752"
Stars 80,35
Nous York,35
"For a Good Time, Call...","35,18"
Vamps,"35,10749,27"
Madea's Witness Protection,"18,35,80"
Brake,"80,28,53"
Wadjda,18
Grave Encounters 2,27
Superman vs. The Elite,"16,28"
Arthur Newman,18
Casa De Mi Padre,"35,37"
On the Other Side of the Tracks,"35,28,80"
Smiley,27
A Perfect Family,35
Le Chef,35
Blancanieves,"18,14,878"
The Punisher: Dirty Laundry,"28,80,18"
Tai Chi Zero,"28,18,35"
Side by Side,99
Lola Versus,35
Lovely Molly,"27,53"
Syrup,"18,35"
Detective Conan: The Eleventh Striker,"9648,28,16"
At Any Price,18
Cockneys vs Zombies,"35,27"
Paris-Manhattan,"35,10749"
The Sapphires,"35,18"
A Late Quartet,"10402,18"
Sightseers,"12,35,80"
A Magnificent Haunting,18
Urban Tale,18
Pokémon the Movie: Kyurem vs. the Sword of Justice,16
The Tower,"28,18"
My Way,18
Indie Game: The Movie,99
The Dinosaur Project,"12,10770"
Game Change,"10770,18,36"
Dark Tide,"53,12,18"
The Collection,"27,53"
Berberian Sound Studio,"27,18,53"
Just Like Brothers,35
Smashed,"35,18"
A Werewolf Boy,"14,10749"
Rigodon,"53,80,18,9648"
Struck by Lightning,"35,18"
The Broken Circle Breakdown,18
The Queen of Versailles,99
6 Bullets,"53,28,80"
Damsels in Distress,"35,10749"
Talaash,"80,18,53"
The Worst Christmas of My Life,35
Resolution,"27,53,9648"
Extracted,"878,53"
Tutto tutto niente niente,35
Kahaani,"9648,53"
Marley,"10402,99"
U.F.O.,"28,12,878,27,35"
Fairy Tail the Movie: Phoenix Priestess,"28,12,35,14,16"
Conquest 1453,"12,18,28,10752"
Love is in the Air,35
Branded,878
Masquerade,18
Haute Cuisine,"35,18"
Girl in Progress,"35,18"
Pieta,18
Sparkle,"18,10402"
Won't Back Down,18
Doctor Who: The Snowmen,"10770,12,878,18,10751"
Gangs of Wasseypur - Part 1,"28,53,80"
After Lucia,18
El Gringo,"12,18,28,53"
Dragon Eyes,"18,28,53,80"
Ginger & Rosa,18
Gallowwalkers,"28,27"
Cirque du Soleil: Worlds Away,"14,10751,10402,18"
The Conspiracy,"27,53"
Us in the U.S.,35
When the Lights Went Out,"53,18,27"
Camille Rewinds,"35,10749,18"
Till Luck Do Us Part,35
The Thieves,"28,80"
Like Someone in Love,18
Eega,"28,35,14"
Unit 7,"18,28"
Storage 24,"27,878"
Due West: Our Sex Journey,"35,18,10749"
Sleepwalk with Me,35
Stitches,27
Jab Tak Hai Jaan,"18,10749"
Buona giornata,35
Reality,"18,35"
Me and You,18
The Butterfly Room,"27,53"
Immaturi - Il viaggio,35
Blood,"18,53,80"
Nameless Gangster,"80,53"
Head Over Heels 2,"35,10749"
Imaginaerum,"14,18"
Tooth Fairy 2,"35,10751"
OMG: Oh My God!,"35,18,14"
The Last Will and Testament of Rosalind Leigh,"27,53"
Ducoboo 2: Crazy Vacation,35
Journey to the Christmas Star,"14,12,10751"
Cowgirls n' Angels,"18,10751"
The Battery,"18,27"
Every Blessed Day,35
Ek Tha Tiger,"28,10749,53"
Big is Beautiful,35
Werewolf: The Beast Among Us,"18,27,53"
Ghost Graduation,35
Outrage Beyond,28
Joyful Noise,"35,10402"
The Babymakers,35
Antiviral,"878,27"
A Bride for Christmas,35
Hannah Arendt,18
Lightning Strike,35
A Coffee in Berlin,"18,35"
Stories We Tell,99
Tabu,"18,10749"
I 2 soliti idioti,35
Bronies: The Extremely Unexpected Adult Fans of My Little Pony,99
West of Memphis,99
Plan de table,"35,10749"
The Courier,"28,80"
7 Below,27
Be My Slave,"18,35,10749"
Cold War,"53,28"
Hello I Must Be Going,"18,35,10749"
Best Man Down,"35,18"
Radiostars,35
Song for Marion,"10402,35,10749,18"
Thunderstruck,35
One in the Chamber,"28,53"
Good Deeds,"35,18,10749"
A Flat for Three,"35,18"
Hamilton: In the Interest of the Nation,"53,28,18"
Agneepath,"28,80,18"
Darling Companion,"18,10749"
Jesus Henry Christ,"35,10751"
Lake Placid: The Final Chapter,"27,878"
Confession of Murder,"28,53"
A Perfect Ending,18
Beyond the Hills,"18,10749"
Gladiators of Rome,"16,10751"
Bullit & Ripper,35
Puella Magi Madoka Magica the Movie Part II: Eternal,"53,16,14"
Starlet,18
Chasing Ice,99
Sadako 3D,27
Paradise: Love,18
Piranhaconda,"27,878"
Bad Kids Go To Hell,"35,9648,53"
Maximum Conviction,"28,12,53"
Not Suitable For Children,"35,10749"
The Day of the Crows,16
The Philadelphia Experiment,"12,878,53,9648"
"Emmanuelle Through Time: Sex, Chocolate & Emmanuelle","35,14"
A Better Life,18
Tower Block,53
Chimpanzee,99
Shameless,18
Big Top Scooby-Doo!,"16,35,10751"
Atlas Shrugged II: The Strike,"18,878,9648"
The Hypnotist,"80,18,53"
A Dark Truth,"28,53"
Piazza Fontana: The Italian Conspiracy,18
Exit Strategy,"35,10749"
Goltzius and the Pelican Company,36
Post Tenebras Lux,18
The Assassins,"18,36"
Le grand soir,35
Painless,"27,9648,14,53"
The Legend of Mor'du,"16,10751"
Electrick Children,18
7 Days in Havana,18
Any Day Now,18
A Company Man,"18,28"
Artificial Paradises,18
The Giant Mechanical Man,"35,18,10749"
Thale,"27,14"
The Summit,"12,99"
Sister,18
Static,"18,27,53,9648"
Vicky Donor,"35,10749"
The Dandelions,"10751,35"
Soldiers of Fortune,"28,12"
Cocktail,"10749,18,35"
Assassin's Bullet,"28,53"
